产品定价,新品定价,产品批发价,新品批发价,产品销售价,新品销售价,广告系数,企业利润,平台利润,消费者总效益,耗时
1.026872849,1.454230121,0.912879809,1.181903016,1.010968168,1.378980392,0.762280082,7009.78,4514.03,46177.49,19.21秒
1.136465755,1.269612226,1.076909645,1.184094385,1.275553262,1.401351258,0.224948689,7750.72,1843.05,33542.2,19.4秒
1.033672927,1.366155265,0.904490555,1.307947456,1.089605494,1.486240189,0.543414102,9025.25,1892.84,40551.36,19.69秒
1.167298004,1.237299772,1.043586828,1.090052043,1.178889236,1.308678024,0.038604291,6820.24,1823.68,28478.45,19.82秒
1.078451272,1.394997592,1.04068145,1.23252615,1.333216969,1.528981769,0.852657802,9719.58,2028.66,48006.46,19.83秒
1.13937831,1.328172624,0.939733158,1.041306335,1.020784547,1.245305708,0.95514009,3518.17,5309.62,55659.52,20.13秒
1.137981501,1.427577735,0.932226079,1.128219608,1.217130825,1.309587182,0.089775743,6782.7,4550.97,27656.27,20.2秒
1.115276631,1.304164027,1.07634984,1.007651808,1.220884519,1.154727974,0.58409539,2150.66,5014.94,49920.73,20.04秒
1.084246807,1.423827116,0.966540549,1.223556637,1.064794061,1.419541749,0.159067658,8763.32,2785.85,28883.1,19.6秒
1.054136777,1.329863753,0.920195118,1.124400557,1.09633686,1.329317359,0.429520885,8009.25,2401.49,37939.63,19.66秒
1.181994622,1.498853063,0.91023504,1.31335729,1.183724828,1.351562382,0.116739017,10931.61,1487.07,27420.6,19.71秒
1.075553888,1.210366527,0.933340062,1.14405915,1.080824682,1.504770467,0.373362149,6082.5,2314.49,40548.4,20.22秒
1.083514808,1.454014973,0.967735196,1.064623889,1.083990699,1.184722355,0.025381868,4511.98,4197.74,28899.11,20.25秒
1.069234812,1.274633482,0.950016007,1.010177192,1.055230586,1.43021254,0.624625638,6927.66,2600.81,46246.42,20.42秒
1.175660493,1.496899667,1.029407569,1.369914144,1.165837413,1.397052677,0.471638322,11488.4,1604.12,36455.12,19.67秒
1.023920192,1.319149718,0.923696425,1.037426315,1.201546083,1.276223842,0.73874631,5093.94,4596.02,49090.52,20.13秒
1.015910544,1.254973863,0.947026938,1.228521939,1.009449845,1.311519982,0.969657084,6489.87,1880.07,57909.15,20.27秒
1.050022038,1.365600047,0.958669205,1.06839077,1.130085372,1.288859408,0.587432596,5351.93,4953.81,43265.92,20.87秒
1.026870246,1.354648444,0.992192136,1.139958355,1.078532299,1.341266359,0.549496524,7736.72,2739.2,41291.25,21.44秒
1.148321723,1.488154294,1.018938658,1.378873245,1.157210327,1.524985429,0.852418443,11566.6,1849.68,44573.54,20.59秒
1.131135816,1.421003951,1.036562112,1.010074662,1.063635071,1.176172606,0.022041948,2656.98,5574.01,28569.22,20.87秒
1.125968362,1.345239483,0.932029505,1.123836003,1.184273312,1.490775405,0.6236992,9066.45,2106.56,43040.82,20.67秒
1.078578014,1.391070966,1.05059833,1.260715101,1.09695137,1.480947544,0.260460341,9702.68,1863.48,31844.85,20.79秒
1.195363619,1.477391867,1.165801283,1.211690631,1.248888925,1.547037409,0.728576142,11469.7,1882.99,41102.8,20.3秒
1.057777143,1.31630824,0.915223454,1.246518682,1.042277135,1.566303273,0.233126714,7606.04,2988.41,33274.91,21.17秒
1.072491781,1.266102134,0.941300279,1.157640115,1.172878784,1.294864169,0.74940575,7285.78,1772.31,50021.3,20.97秒
1.101767526,1.301856604,1.004070234,1.070809301,1.057981423,1.171116131,0.319561084,4298.79,3388.23,39310.99,21.09秒
1.146081676,1.453989452,1.00720112,1.005373505,1.081948903,1.595194791,0.397642917,9800.76,2823.25,33831.9,20.67秒
1.056032064,1.307844362,0.954242618,1.206822726,1.185185475,1.504609265,0.27250336,8212.52,2085.55,34066.29,20.6秒
1.147840429,1.300224261,1.045630757,1.177967523,1.308918518,1.481966618,0.356798709,8415.36,2007.04,36668.7,21.04秒
1.179431763,1.497007897,1.059300925,1.185444122,1.248117348,1.267395692,0.562182943,7807.79,2669.25,43111.29,20.6秒
1.136883214,1.475170726,1.019674187,1.297674184,1.245509424,1.427048081,0.385935272,10552.72,2584.55,33613.39,20.5秒
1.027907303,1.230483873,0.98387899,1.002784372,1.209424833,1.50645179,0.635292103,6017.5,2623.73,48237.73,20.83秒
1.196399916,1.416743593,0.947256501,1.129259563,1.078097312,1.241771968,0.046838417,6136.4,3766.53,28121.08,21.21秒
1.140334629,1.432041717,1.131460903,1.169625604,1.271930957,1.482019172,0.901667965,10567.32,1912.76,47764.94,20.57秒
1.180446278,1.36367372,1.007814011,1.21821813,1.122188861,1.370636805,0.359097886,9083.18,2324.24,34501.6,20.91秒
1.18731869,1.338371573,0.954753216,1.056141215,1.229727434,1.456640935,0.102806544,9071.78,2019.3,27638.92,20.4秒
1.147483832,1.393326067,0.982801905,1.062413927,1.068166217,1.617324876,0.970692675,8734.39,3076.86,51325.3,20.82秒
1.060562768,1.483657019,0.93620184,1.351862779,1.275672167,1.429318005,0.471125765,10511.23,2006.26,36232.28,20.7秒
1.167379932,1.490469513,0.965114875,1.310645129,1.066202639,1.529455369,0.779751463,10158.74,2777.67,43267.04,20.65秒
1.075536524,1.484119848,0.920305589,1.166456481,1.20253053,1.444698909,0.886444958,8750.78,3959.07,46611.5,20.83秒
1.015322273,1.406745006,0.924238843,1.186074318,1.247045172,1.389727607,0.647429537,8432.4,2749.96,42935.09,20.91秒
1.109589641,1.234155476,0.95063975,1.000608573,1.136565868,1.400296738,0.127425811,6484.17,2194.13,31103.1,20.72秒
1.054033801,1.379335299,0.900423906,1.056394824,0.916904632,1.550896776,0.968196564,7019.03,2268.09,53303.37,21.07秒
1.1265231,1.327051817,0.944930593,1.214962554,0.95235317,1.537643198,0.274505027,7350.07,1779.76,35176.89,20.97秒
1.103796707,1.253186708,0.955624902,1.140572621,1.214208939,1.361381158,0.010621217,7197.18,1816.52,26722.31,20.82秒
1.073002588,1.47118847,0.946220712,1.181710136,1.13898699,1.353262184,0.919589639,7700.12,3990.47,50469.51,20.89秒
1.101478343,1.423576991,0.919049881,1.131029534,1.230239033,1.212962847,0.807903602,6128.3,2838.02,54149.12,20.65秒
1.173601764,1.216422568,1.06163253,1.143286676,1.217095963,1.61581045,0.532279697,6116.82,2605.18,45632.25,20.85秒
1.142475216,1.483944229,1.102222916,1.229197937,1.188521836,1.444946097,0.932389245,9577.85,3416.31,46895.37,20.69秒
1.03306705,1.491214274,0.907324694,1.197009568,1.080004931,1.2503616,0.095559433,8041.17,1884.08,29481.64,21.14秒
1.102653621,1.462920985,1.077596873,1.149714486,1.193699334,1.364657279,0.761282196,7458.07,4646.53,45903.12,20.78秒
1.005012102,1.391854069,0.93333681,1.002123692,1.153335538,1.114022613,0.369829288,2112.5,4245.17,43961.98,21.37秒
1.043057117,1.466391135,0.954388051,1.406523727,1.188153043,1.575117196,0.118816987,9530.01,1831.38,27912.59,20.68秒
1.197395353,1.278804245,1.164418362,1.0695894,1.235676849,1.530666986,0.960252225,7257.49,2404.66,56954.36,20.48秒
1.063748513,1.238109242,0.967686342,1.14426547,1.129349901,1.482381988,0.030954952,6728.8,2213.75,28211.32,20.97秒
1.191693668,1.203658365,1.090397894,1.020168905,1.269775431,1.115043143,0.148419305,2285.42,3372.66,35238.84,21.23秒
1.195845363,1.431706399,0.960535059,1.086270028,1.031600269,1.190505431,0.085849908,5004.05,3596.35,30459.14,21.06秒
