敏感性变量,场景,敏感性变量取值,产品定价,新品定价,产品批发价,新品批发价,产品销售价,新品销售价,广告系数,企业利润,平台利润,消费者总效益,耗时
产品定价,Q1,1.0,1.0,1.275,0.975,1.275,0.975,1.275,0.25,7247.94,1210.96,35122.09,31.6083
产品定价,Q1,1.0010050251256282,1.0010050251256282,1.275,0.975,1.275,0.975,1.275,0.25,7186.37,1198.07,34420.47,29.1272
产品定价,Q1,1.0020100502512563,1.0020100502512563,1.275,0.975,1.275,0.975,1.275,0.25,7200.93,1193.26,34654.63,31.964
产品定价,Q1,1.0030150753768845,1.0030150753768845,1.275,0.975,1.275,0.975,1.275,0.25,7204.61,1182.01,34621.3,60.8384
产品定价,Q1,1.0040201005025127,1.0040201005025127,1.275,0.975,1.275,0.975,1.275,0.25,7191.56,1177.56,34490.74,46.8979
产品定价,Q1,1.0050251256281406,1.0050251256281406,1.275,0.975,1.275,0.975,1.275,0.25,7227.65,1188.17,34749.2,28.1448
产品定价,Q1,1.0060301507537688,1.0060301507537688,1.275,0.975,1.275,0.975,1.275,0.25,7213.5,1169.41,34525.43,26.2383
产品定价,Q1,1.007035175879397,1.007035175879397,1.275,0.975,1.275,0.975,1.275,0.25,7190.66,1174.42,34472.45,28.8507
产品定价,Q1,1.0080402010050251,1.0080402010050251,1.275,0.975,1.275,0.975,1.275,0.25,7274.52,1180.0,34992.95,29.1236
产品定价,Q1,1.0090452261306533,1.0090452261306533,1.275,0.975,1.275,0.975,1.275,0.25,7216.83,1162.44,34679.97,27.5195
产品定价,Q1,1.0100502512562815,1.0100502512562815,1.275,0.975,1.275,0.975,1.275,0.25,7272.9,1178.25,34888.05,32.2982
产品定价,Q1,1.0110552763819096,1.0110552763819096,1.275,0.975,1.275,0.975,1.275,0.25,7236.38,1157.86,34595.1,36.9497
产品定价,Q1,1.0120603015075378,1.0120603015075378,1.275,0.975,1.275,0.975,1.275,0.25,7201.26,1153.14,34538.09,32.5831
产品定价,Q1,1.0130653266331657,1.0130653266331657,1.275,0.975,1.275,0.975,1.275,0.25,7221.13,1163.12,34501.87,27.579
产品定价,Q1,1.014070351758794,1.014070351758794,1.275,0.975,1.275,0.975,1.275,0.25,7219.26,1162.7,34711.21,37.7668
产品定价,Q1,1.015075376884422,1.015075376884422,1.275,0.975,1.275,0.975,1.275,0.25,7299.47,1173.95,35059.37,31.3787
产品定价,Q1,1.0160804020100502,1.0160804020100502,1.275,0.975,1.275,0.975,1.275,0.25,7213.01,1142.11,34477.91,30.4654
产品定价,Q1,1.0170854271356784,1.0170854271356784,1.275,0.975,1.275,0.975,1.275,0.25,7279.86,1172.11,34968.05,32.2845
产品定价,Q1,1.0180904522613066,1.0180904522613066,1.275,0.975,1.275,0.975,1.275,0.25,7283.39,1161.96,34879.78,32.8764
产品定价,Q1,1.0190954773869347,1.0190954773869347,1.275,0.975,1.275,0.975,1.275,0.25,7222.22,1152.05,34646.61,33.0675
产品定价,Q1,1.020100502512563,1.020100502512563,1.275,0.975,1.275,0.975,1.275,0.25,7244.61,1144.81,34481.58,31.3799
产品定价,Q1,1.0211055276381908,1.0211055276381908,1.275,0.975,1.275,0.975,1.275,0.25,7273.87,1154.15,34802.12,34.5864
产品定价,Q1,1.022110552763819,1.022110552763819,1.275,0.975,1.275,0.975,1.275,0.25,7300.88,1161.43,34927.09,38.171
产品定价,Q1,1.0231155778894472,1.0231155778894472,1.275,0.975,1.275,0.975,1.275,0.25,7232.24,1143.45,34759.19,44.8181
产品定价,Q1,1.0241206030150753,1.0241206030150753,1.275,0.975,1.275,0.975,1.275,0.25,7294.25,1153.21,34966.65,29.5398
产品定价,Q1,1.0251256281407035,1.0251256281407035,1.275,0.975,1.275,0.975,1.275,0.25,7235.38,1141.08,34749.16,29.0068
产品定价,Q1,1.0261306532663317,1.0261306532663317,1.275,0.975,1.275,0.975,1.275,0.25,7286.38,1148.43,34901.02,29.0199
产品定价,Q1,1.0271356783919598,1.0271356783919598,1.275,0.975,1.275,0.975,1.275,0.25,7318.03,1139.36,35044.41,28.8322
